"ID","Address","City","State","Zip","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side"
201989,"407 W VALLEY BLVD UNIT 3","ALHAMBRA","CA",91803,34.078358581,-118.126955374,489,"407 W VALLEY BLVD UNIT 3, ALHAMBRA, CA, 91803","Match","Non_Exact","407 W VALLEY BLVD, ALHAMBRA, CA, 91803",141636642,"R"
201990,"407 W WARREN ST","BUNKER HILL","IL",62014,NA,NA,490,"407 W WARREN ST, BUNKER HILL, IL, 62014","Tie",NA,NA,NA,NA
201991,"407 WABAN AVENUE","WABAN","MA",2468,42.327074311,-71.247308731,491,"407 WABAN AVENUE, WABAN, MA, 2468","Match","Exact","407 WABAN AVE, WABAN, MA, 02468",86863039,"R"
201992,"407 WASHINGTON STREET","WAPELLO","IA",52653,41.178249067,-91.185567582,492,"407 WASHINGTON STREET, WAPELLO, IA, 52653","Match","Exact","407 WASHINGTON ST, WAPELLO, IA, 52653",9387690,"R"
201993,"407 WATER ST","CAHOKIA","IL",62206,38.5672519130001,-90.1907659779999,493,"407 WATER ST, CAHOKIA, IL, 62206","Match","Exact","407 WATER ST, CAHOKIA, IL, 62206",107831383,"R"
201994,"407 WEST CHARLES","GRAND ISLAND","NE",68801,40.920043171,-98.3403857389999,494,"407 WEST CHARLES, GRAND ISLAND, NE, 68801","Match","Non_Exact","407 W CHARLES ST, GRAND ISLAND, NE, 68801",196269621,"R"
201995,"407 WEST HIGHTOWER TRAIL","SOCIAL CIRCLE","GA",30025,33.660214146,-83.724592072,495,"407 WEST HIGHTOWER TRAIL, SOCIAL CIRCLE, GA, 30025","Match","Exact","407 W HIGHTOWER TRL, SOCIAL CIRCLE, GA, 30025",618475030,"L"
201996,"407 WEST STATE STREET","TRENTON","NJ",8618,40.225092762,-74.777805386,496,"407 WEST STATE STREET, TRENTON, NJ, 8618","Match","Exact","407 W STATE ST, TRENTON, NJ, 08618",60224835,"L"
201997,"407 WEST STREET","WILKINSBURG","PA",15221,40.440534217,-79.891255847,497,"407 WEST STREET, WILKINSBURG, PA, 15221","Match","Exact","407 WEST ST, WILKINSBURG, PA, 15221",51935515,"L"
201998,"407 WHITWORTH AVENUE SOUTH","RENTON","WA",98057,47.4780433490001,-122.212018916,498,"407 WHITWORTH AVENUE SOUTH, RENTON, WA, 98057","Match","Exact","407 WHITWORTH AVE S, RENTON, WA, 98057",186920242,"R"
201999,"407 WILLOW HILL PL","HYATTSVILLE","MD",20785,38.8953139130001,-76.8745326,499,"407 WILLOW HILL PL, HYATTSVILLE, MD, 20785","Match","Exact","407 WILLOW HILL PL, HYATTSVILLE, MD, 20785",76338930,"R"
202000,"407 WINDERMERE CIRCLE","TARBORO","NC",27886,35.9066945340001,-77.5670914569999,500,"407 WINDERMERE CIRCLE, TARBORO, NC, 27886","Match","Exact","407 WINDERMERE CIR, TARBORO, NC, 27886",90189617,"R"
