"ID","Address","City","State","Zip","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side"
201688,"406 WAVELAND ROAD","CATONSILLE","MD",21228,39.276938606,-76.760210054,188,"406 WAVELAND ROAD, CATONSILLE, MD, 21228","Match","Non_Exact","406 WAVELAND RD, CATONSVILLE, MD, 21228",191514971,"L"
201689,"406 WAVELAND ROAD","CATONSVILLE","MD",21228,39.276938606,-76.760210054,189,"406 WAVELAND ROAD, CATONSVILLE, MD, 21228","Match","Exact","406 WAVELAND RD, CATONSVILLE, MD, 21228",191514971,"L"
201690,"406 WELLESLEY DRIVE SE","ALBUQUERQUE","NM",87106,35.075214282,-106.608270257,190,"406 WELLESLEY DRIVE SE, ALBUQUERQUE, NM, 87106","Match","Exact","406 WELLESLEY DR SE, ALBUQUERQUE, NM, 87106",206710395,"L"
201691,"406 WEST 145 STREET","NEW YORK","NY",10031,40.82419937,-73.9451583979999,191,"406 WEST 145 STREET, NEW YORK, NY, 10031","Match","Exact","406 W 145TH ST, NEW YORK, NY, 10031",59655978,"L"
201692,"406 WEST 2ND STREET","MERRILL","OR",97633,42.025839036,-121.596395884,192,"406 WEST 2ND STREET, MERRILL, OR, 97633","Match","Non_Exact","406 E 2ND ST, MERRILL, OR, 97633",156664194,"R"
201693,"406 WEST 34TH B","AUSTIN","TX",78705,30.299722407,-97.7383196869999,193,"406 WEST 34TH B, AUSTIN, TX, 78705","Match","Non_Exact","406 W 34TH ST, AUSTIN, TX, 78705",64019126,"R"
201694,"406 WEST AVENUE","NORTH AUGUSTA","SC",29841,33.493005512,-81.9729537269999,194,"406 WEST AVENUE, NORTH AUGUSTA, SC, 29841","Match","Exact","406 WEST AVE, NORTH AUGUSTA, SC, 29841",64984408,"L"
201695,"406 WEST BEND DR","LEAGUE CITY","TX",77573,29.4811627180001,-95.166790154,195,"406 WEST BEND DR, LEAGUE CITY, TX, 77573","Match","Exact","406 W BEND DR, LEAGUE CITY, TX, 77573",650406505,"L"
201696,"406 WEST BROADWAY STREET","LAWRENCEBURG","KY",40342,38.0272744920001,-84.8994971659999,196,"406 WEST BROADWAY STREET, LAWRENCEBURG, KY, 40342","Match","Exact","406 W BROADWAY ST, LAWRENCEBURG, KY, 40342",43453194,"L"
201697,"406 WEST MOUNTAIN STREET","KERNERSVILLE","NC",27284,36.124312558,-80.0783769779999,197,"406 WEST MOUNTAIN STREET, KERNERSVILLE, NC, 27284","Match","Exact","406 W MOUNTAIN ST, KERNERSVILLE, NC, 27284",84617884,"L"
201698,"406 WEST SOUTH STREET","BENTON","AR",72015,34.563569273,-92.590692163,198,"406 WEST SOUTH STREET, BENTON, AR, 72015","Match","Exact","406 W SOUTH ST, BENTON, AR, 72015",24193361,"L"
201699,"406 WEST STREET","PITTSFIELD","MA",1201,42.4505520490001,-73.267192482,199,"406 WEST STREET, PITTSFIELD, MA, 1201","Match","Exact","406 WEST ST, PITTSFIELD, MA, 01201",3953086,"R"
201700,"406 WEST ZIMMERMAN STREET","FOREST","OH",45843,40.7997013820001,-83.517182432,200,"406 WEST ZIMMERMAN STREET, FOREST, OH, 45843","Match","Exact","406 W ZIMMERMAN ST, FOREST, OH, 45843",36520946,"L"
201701,"406 WILDWOOD AVENUE","RIO DELL","CA",95562,40.4958878400001,-124.104165653,201,"406 WILDWOOD AVENUE, RIO DELL, CA, 95562","Match","Exact","406 WILDWOOD AVE, RIO DELL, CA, 95562",113060169,"R"
201702,"406 WILLOW WOOD DR","PFLUGERVILLE","TX",78660,30.4431873980001,-97.615209697,202,"406 WILLOW WOOD DR, PFLUGERVILLE, TX, 78660","Match","Exact","406 WILLOW WOOD DR, PFLUGERVILLE, TX, 78660",63933668,"L"
201703,"406 WISTFUL VISTA COURT","GLEN BURNIE","MD",21061,39.188659095,-76.6345870069999,203,"406 WISTFUL VISTA COURT, GLEN BURNIE, MD, 21061","Match","Exact","406 WISTFUL VISTA CT, GLEN BURNIE, MD, 21061",68189944,"L"
201704,"406 YORKTOWN BLVD","LOCUST GROVE","VA",22508,38.3433732330001,-77.7691732449999,204,"406 YORKTOWN BLVD, LOCUST GROVE, VA, 22508","Match","Exact","406 YORKTOWN BLVD, LOCUST GROVE, VA, 22508",29880845,"L"
201705,"406 ZINNIA COURT","BRICK","NJ",8724,40.094491416,-74.127607365,205,"406 ZINNIA COURT, BRICK, NJ, 8724","Match","Exact","406 ZINNIA CT, BRICK, NJ, 08724",203768601,"R"
201706,"406","VALRICO","FL",33594,NA,NA,206,"406, VALRICO, FL, 33594","No_Match",NA,NA,NA,NA
201707,"4060 40TH CIRCLE SOUTH","SAINT PETERSBURG","FL",33711,27.732263689,-82.689279959,207,"4060 40TH CIRCLE SOUTH, SAINT PETERSBURG, FL, 33711","Match","Exact","4060 40TH CIR S, SAINT PETERSBURG, FL, 33711",124730870,"L"
201708,"4060 BLUE IRIS HOLLOW","NORCROSS","GA",30092,33.9801134640001,-84.2259855309999,208,"4060 BLUE IRIS HOLLOW, NORCROSS, GA, 30092","Match","Exact","4060 BLUE IRIS HOLLOW, NORCROSS, GA, 30092",88934070,"L"
201709,"4060 BROWNS BRIDGE ROAD","CUMMING","GA",30041,34.260663661,-84.079455184,209,"4060 BROWNS BRIDGE ROAD, CUMMING, GA, 30041","Match","Exact","4060 BROWNS BRIDGE RD, CUMMING, GA, 30041",70183951,"L"
201710,"4060 CASA LOMA DRIVE","DECATUR","GA",30034,33.689429406,-84.222334664,210,"4060 CASA LOMA DRIVE, DECATUR, GA, 30034","Match","Exact","4060 CASA LOMA DR, DECATUR, GA, 30034",23373502,"L"
201711,"4060 DON JULIO BLVD","SACRAMENTO","CA",95842,NA,NA,211,"4060 DON JULIO BLVD, SACRAMENTO, CA, 95842","No_Match",NA,NA,NA,NA
201712,"4060 KATHLEEN CT","SUAMICO","WI",54313,44.651111461,-88.0640662489999,212,"4060 KATHLEEN CT, SUAMICO, WI, 54313","Match","Exact","4060 KATHLEEN CT, SUAMICO, WI, 54313",148092246,"R"
201713,"4060 KITTERY POINT","SNELLVILLE","GA",30039,33.8137563710001,-84.047842814,213,"4060 KITTERY POINT, SNELLVILLE, GA, 30039","Match","Exact","4060 KITTERY PT, SNELLVILLE, GA, 30039",636180621,"L"
201714,"4060 LONE OAK ROAD SE","SALEM","OR",97302,44.8964766570001,-123.048580008,214,"4060 LONE OAK ROAD SE, SALEM, OR, 97302","Match","Exact","4060 LONE OAK RD SE, SALEM, OR, 97302",613669846,"L"
201715,"4060 NE 95TH RD","WILDWOOD","FL",34785,28.8951114330001,-82.0363334,215,"4060 NE 95TH RD, WILDWOOD, FL, 34785","Match","Exact","4060 NE 95TH RD, WILDWOOD, FL, 34785",642825721,"L"
201716,"4060 PEACHTREE ROAD NE D255","BROOKHAVEN","GA",30319,33.8613943340001,-84.339158399,216,"4060 PEACHTREE ROAD NE D255, BROOKHAVEN, GA, 30319","Match","Exact","4060 PEACHTREE RD NE, BROOKHAVEN, GA, 30319",642892106,"L"
201717,"4060 TRAVIS STREET  17","DALLAS","TX",75204,32.814185665,-96.795261244,217,"4060 TRAVIS STREET  17, DALLAS, TX, 75204","Match","Exact","4060 TRAVIS ST, DALLAS, TX, 75204",102908960,"R"
201718,"4060 W WILDCAT BLVD","CHARLESTON","SC",29414,32.817519218,-80.0704927049999,218,"4060 W WILDCAT BLVD, CHARLESTON, SC, 29414","Match","Exact","4060 W WILDCAT BLVD, CHARLESTON, SC, 29414",635601766,"R"
201719,"40600 ANN ARBOR ROAD EAST SUITE 201","PLYMOUTH","MI",48170,NA,NA,219,"40600 ANN ARBOR ROAD EAST SUITE 201, PLYMOUTH, MI, 48170","No_Match",NA,NA,NA,NA
201720,"40600 SCHOOLCRAFT RD","PLYMOUTH","MI",48170,42.3843205750001,-83.441446865,220,"40600 SCHOOLCRAFT RD, PLYMOUTH, MI, 48170","Match","Exact","40600 SCHOOLCRAFT RD, PLYMOUTH, MI, 48170",95410616,"R"
201721,"40600 VALLEY OF THE FALLS","FOREST FALLS","CA",92339,NA,NA,221,"40600 VALLEY OF THE FALLS, FOREST FALLS, CA, 92339","No_Match",NA,NA,NA,NA
201722,"4061 CHESTNUT STREEET","EMMAUS","PA",18049,40.519746931,-75.520813298,222,"4061 CHESTNUT STREEET, EMMAUS, PA, 18049","Match","Non_Exact","4061 CHESTNUT ST, EMMAUS, PA, 18049",614923215,"L"
201723,"4061 CREEK RD","YOUNGSTOWN","NY",14174,43.217560264,-79.017717934,223,"4061 CREEK RD, YOUNGSTOWN, NY, 14174","Match","Exact","4061 CREEK RD, YOUNGSTOWN, NY, 14174",652669029,"L"
201724,"4061 CREEK ROAD","YOUNGSTOWN","NY",14174,43.217560264,-79.017717934,224,"4061 CREEK ROAD, YOUNGSTOWN, NY, 14174","Match","Exact","4061 CREEK RD, YOUNGSTOWN, NY, 14174",652669029,"L"
201725,"4061 DRUSILLA DRIVE","BATON ROUGE","LA",70809,30.413465961,-91.091590132,225,"4061 DRUSILLA DRIVE, BATON ROUGE, LA, 70809","Match","Exact","4061 DRUSILLA DR, BATON ROUGE, LA, 70809",92190091,"L"
201726,"4061 E CASTRO VALLEY BLVD BOX 503","CASTRO VALLEY","CA",94552,37.696054878,-122.050378447,226,"4061 E CASTRO VALLEY BLVD BOX 503, CASTRO VALLEY, CA, 94552","Match","Non_Exact","4061 E CASTRO VALLEY BLVD, CASTRO VALLEY, CA, 94552",125080871,"R"
201727,"4061 E CASTRO VALLEY BLVD STE 231","CASTRO VALLEY","CA",94552,37.696054878,-122.050378447,227,"4061 E CASTRO VALLEY BLVD STE 231, CASTRO VALLEY, CA, 94552","Match","Non_Exact","4061 E CASTRO VALLEY BLVD, CASTRO VALLEY, CA, 94552",125080871,"R"
201728,"4061 E CASTRO VALLEY BLVD UNIT 333","CASTRO VALLEY","CA",94552,37.696054878,-122.050378447,228,"4061 E CASTRO VALLEY BLVD UNIT 333, CASTRO VALLEY, CA, 94552","Match","Non_Exact","4061 E CASTRO VALLEY BLVD, CASTRO VALLEY, CA, 94552",125080871,"R"
201729,"4061 E LOUISIANA STATE DRIVE","KENNER","LA",70065,30.036172149,-90.2631948869999,229,"4061 E LOUISIANA STATE DRIVE, KENNER, LA, 70065","Match","Exact","4061 E LOUISIANA STATE DR, KENNER, LA, 70065",93546884,"L"
201730,"4061 EAST CASTRO VALLEY BLVD 204","CASTRO VALLEY","CA",94552,37.6960491410001,-122.050392114,230,"4061 EAST CASTRO VALLEY BLVD 204, CASTRO VALLEY, CA, 94552","Match","Exact","4061 E CASTRO VALLEY BLVD, CASTRO VALLEY, CA, 94552",125080871,"R"
201731,"4061 EAST CASTRO VALLEY BLVD 79","CASTRO VALLEY","CA",94552,37.6960491410001,-122.050392114,231,"4061 EAST CASTRO VALLEY BLVD 79, CASTRO VALLEY, CA, 94552","Match","Exact","4061 E CASTRO VALLEY BLVD, CASTRO VALLEY, CA, 94552",125080871,"R"
201732,"4061 ELIZA AVE","BELLINGHAM","WA",98226,48.7883201010001,-122.497018526,232,"4061 ELIZA AVE, BELLINGHAM, WA, 98226","Match","Exact","4061 ELIZA AVE, BELLINGHAM, WA, 98226",624394024,"L"
201733,"4061 KENESAW DRIVE","LEXINGTON","KY",40515,37.9553357560001,-84.485156724,233,"4061 KENESAW DRIVE, LEXINGTON, KY, 40515","Match","Exact","4061 KENESAW DR, LEXINGTON, KY, 40515",31943394,"R"
201734,"4061 MONTE VERDE DRIVE","EL DORADO HILLS","CA",95762,38.6452496520001,-121.065145017,234,"4061 MONTE VERDE DRIVE, EL DORADO HILLS, CA, 95762","Match","Exact","4061 MONTE VERDE DR, EL DORADO HILLS, CA, 95762",133069553,"L"
201735,"4061 PATTERSON ROAD","ALIQUIPPA","PA",15001,40.618717152,-80.3688623149999,235,"4061 PATTERSON ROAD, ALIQUIPPA, PA, 15001","Match","Exact","4061 PATTERSON RD, ALIQUIPPA, PA, 15001",52562670,"R"
201736,"4061 PRINCETON LAKES WAY SW","ATLANTA","GA",30331,33.658234001,-84.517647548,236,"4061 PRINCETON LAKES WAY SW, ATLANTA, GA, 30331","Match","Exact","4061 PRINCETON LAKES WAY SW, ATLANTA, GA, 30331",610238040,"L"
201737,"4061 PULLMAN CIRCLE","AUGUSTA","GA",30909,33.4423903050001,-82.148278588,237,"4061 PULLMAN CIRCLE, AUGUSTA, GA, 30909","Match","Exact","4061 PULLMAN CIR, AUGUSTA, GA, 30909",648114866,"L"
201738,"4061 SANDVIEW DR","MEDINA","OH",44256,41.164914002,-81.816810784,238,"4061 SANDVIEW DR, MEDINA, OH, 44256","Match","Exact","4061 SANDVIEW DR, MEDINA, OH, 44256",58689924,"L"
201739,"40610 KAVANAGH ROAD","MECHANICSVILLE","MD",20659,38.392191865,-76.671084311,239,"40610 KAVANAGH ROAD, MECHANICSVILLE, MD, 20659","Match","Exact","40610 KAVANAGH RD, MECHANICSVILLE, MD, 20659",36640065,"R"
201740,"40619 ITHACA LANE","MAGNOLIA","TX",77354,30.230128155,-95.6657046179999,240,"40619 ITHACA LANE, MAGNOLIA, TX, 77354","Match","Exact","40619 ITHACA LN, MAGNOLIA, TX, 77354",648585783,"L"
201741,"4062 DUPLIN CLOSE","PITTSBORO","NC",27312,35.7952749570001,-79.082117129,241,"4062 DUPLIN CLOSE, PITTSBORO, NC, 27312","Match","Exact","4062 DUPLIN, PITTSBORO, NC, 27312",600318506,"L"
201742,"4062 E ASTER DR","PHOENIX","AZ",85032,33.6029862600001,-111.993708956,242,"4062 E ASTER DR, PHOENIX, AZ, 85032","Match","Exact","4062 E ASTER DR, PHOENIX, AZ, 85032",128186651,"L"
201743,"4062 EVELYN DRIVE","SALT LAKE CITY","UT",84124,40.682904276,-111.786630391,243,"4062 EVELYN DRIVE, SALT LAKE CITY, UT, 84124","Match","Non_Exact","4062 E EVELYN DR, SALT LAKE CITY, UT, 84124",176095163,"R"
201744,"4062 KENNIBEC COVE","MEMPHIS","TN",38125,35.037114995,-89.817999422,244,"4062 KENNIBEC COVE, MEMPHIS, TN, 38125","Match","Exact","4062 KENNIBEC COVE, MEMPHIS, TN, 38125",72942940,"R"
201745,"4062 PEACHTREE ROAD A 151","BROOKHAVEN","GA",30319,33.861446404,-84.339112069,245,"4062 PEACHTREE ROAD A 151, BROOKHAVEN, GA, 30319","Match","Non_Exact","4062 PEACHTREE RD NE, BROOKHAVEN, GA, 30319",642892106,"L"
201746,"4063 - 148TH AVE NE","BELLEVUE","WA",98007,NA,NA,246,"4063 - 148TH AVE NE, BELLEVUE, WA, 98007","No_Match",NA,NA,NA,NA
201747,"4063 ELROY ANSONIA ROAD","ANSONIA","OH",45303,40.2073588970001,-84.649582859,247,"4063 ELROY ANSONIA ROAD, ANSONIA, OH, 45303","Match","Non_Exact","4063 ELROY-ANSONIA RD, ANSONIA, OH, 45303",54560195,"R"
201748,"4063 FIR HILL DR E","LAKELAND","TN",38002,NA,NA,248,"4063 FIR HILL DR E, LAKELAND, TN, 38002","No_Match",NA,NA,NA,NA
201749,"4063 LINCOLN AVE","OAKLAND","CA",94602,37.805286257,-122.208532293,249,"4063 LINCOLN AVE, OAKLAND, CA, 94602","Match","Exact","4063 LINCOLN AVE, OAKLAND, CA, 94602",125003952,"L"
201750,"4063 N GOLDENROD RD STE 1","WINTER PARK","FL",32792,28.59811983,-81.286503419,250,"4063 N GOLDENROD RD STE 1, WINTER PARK, FL, 32792","Match","Non_Exact","4063 N GOLDENROD RD, WINTER PARK, FL, 32792",637847782,"L"
201751,"4063 N JENNINGS RD","HAINES CITY","FL",33844,28.044855016,-81.537388128,251,"4063 N JENNINGS RD, HAINES CITY, FL, 33844","Match","Exact","4063 N JENNINGS RD, HAINES CITY, FL, 33844",635621359,"R"
201752,"4063 S W LIDO DR","LEES SUMMIT","MO",64082,38.8443975550001,-94.390885741,252,"4063 S W LIDO DR, LEES SUMMIT, MO, 64082","Match","Exact","4063 LIDO DR, LEES SUMMIT, MO, 64082",91478777,"L"
201753,"4063 SILVER PARK TER","SUITLAND","MD",20746,38.837314582,-76.936045656,253,"4063 SILVER PARK TER, SUITLAND, MD, 20746","Match","Exact","4063 SILVER PARK TER, SUITLAND, MD, 20746",76375334,"R"
201754,"4063 TEMPLE CITY BLVD","EL MONTE","CA",91731,34.083052638,-118.057581996,254,"4063 TEMPLE CITY BLVD, EL MONTE, CA, 91731","Match","Exact","4063 TEMPLE CITY BLVD, EL MONTE, CA, 91731",241241912,"L"
201755,"4063 US HWY 13 SOUTH","GOLDSBORO","NC",27530,35.2922032760001,-78.1939289379999,255,"4063 US HWY 13 SOUTH, GOLDSBORO, NC, 27530","Match","Exact","4063 US HWY 13 S, GOLDSBORO, NC, 27530",636074593,"R"
201756,"4063 WEST PIERSON RD","FLINT","MI",48504,43.060701813,-83.755831071,256,"4063 WEST PIERSON RD, FLINT, MI, 48504","Match","Exact","4063 W PIERSON RD, FLINT, MI, 48504",69563346,"L"
201757,"40633 CALLE LEONORA","INDIO","CA",92203,33.753849787,-116.24510921,257,"40633 CALLE LEONORA, INDIO, CA, 92203","Match","Non_Exact","40633 CLL LEONORA, INDIO, CA, 92203",624985795,"L"
201758,"40636 174THST E","LANCASTER","CA",93535,NA,NA,258,"40636 174THST E, LANCASTER, CA, 93535","No_Match",NA,NA,NA,NA
201759,"40636 ROBIN STREET","FREMONT","CA",94538,37.527339306,-121.970507261,259,"40636 ROBIN STREET, FREMONT, CA, 94538","Match","Exact","40636 ROBIN ST, FREMONT, CA, 94538",125031093,"L"
201760,"40639 ROSALIE AVENUE","HEMET","CA",92544,33.7396123870001,-116.950995039,260,"40639 ROSALIE AVENUE, HEMET, CA, 92544","Match","Exact","40639 ROSALIE AVE, HEMET, CA, 92544",194757404,"R"
201761,"4064 E 22ND ST","TUCSON","AZ",85711,32.2069821810001,-110.90590421,261,"4064 E 22ND ST, TUCSON, AZ, 85711","Match","Exact","4064 E 22ND ST, TUCSON, AZ, 85711",121175782,"R"
201762,"4064 E FIR HILL DRIVE","LAKELAND","TN",38002,35.2368186940001,-89.749159111,262,"4064 E FIR HILL DRIVE, LAKELAND, TN, 38002","Match","Exact","4064 E FIR HILL DR, LAKELAND, TN, 38002",72969012,"R"
201763,"4064 GLENALBYN DRIVE","LOS ANGELES","CA",90065,34.0960904900001,-118.214639132,263,"4064 GLENALBYN DRIVE, LOS ANGELES, CA, 90065","Match","Exact","4064 GLENALBYN DR, LOS ANGELES, CA, 90065",141621615,"R"
201764,"4064 PRINCETON BLVD","SOUTH EUCLID","OH",44121,41.538295744,-81.537724966,264,"4064 PRINCETON BLVD, SOUTH EUCLID, OH, 44121","Match","Exact","4064 PRINCETON BLVD, SOUTH EUCLID, OH, 44121",61124259,"R"
201765,"4064 WILKINSON AVE","STUDIO CITY","CA",91604,34.144896009,-118.404127103,265,"4064 WILKINSON AVE, STUDIO CITY, CA, 91604","Match","Exact","4064 WILKINSON AVE, STUDIO CITY, CA, 91604",141565405,"R"
201766,"40642 CAMINO NORO ESTE","MURRIETA","CA",92562,NA,NA,266,"40642 CAMINO NORO ESTE, MURRIETA, CA, 92562","No_Match",NA,NA,NA,NA
201767,"40643 N EAGLE ST","SAN TAN","AZ",85140,33.248010762,-111.557303317,267,"40643 N EAGLE ST, SAN TAN, AZ, 85140","Match","Non_Exact","40643 N EAGLE ST, SAN TAN VALLEY, AZ, 85140",129245886,"R"
201768,"40648 US BUSINESS 290","WALLER","TX",77484,NA,NA,268,"40648 US BUSINESS 290, WALLER, TX, 77484","No_Match",NA,NA,NA,NA
201769,"4065 15TH STREET","BOULDER","CO",80304,40.048478829,-105.278991882,269,"4065 15TH STREET, BOULDER, CO, 80304","Match","Exact","4065 15TH ST, BOULDER, CO, 80304",188158790,"L"
201770,"4065 25TH STREET","SAN FRANCISCO","CA",94114,37.7498776240001,-122.430890506,270,"4065 25TH STREET, SAN FRANCISCO, CA, 94114","Match","Exact","4065 25TH ST, SAN FRANCISCO, CA, 94114",192284838,"L"
201771,"4065 BARN HALLOW WAY","ANTIOCH","CA",94509,37.9885661260001,-121.859804015,271,"4065 BARN HALLOW WAY, ANTIOCH, CA, 94509","Match","Non_Exact","4065 BARN HOLLOW WAY, ANTIOCH, CA, 94509",617829755,"L"
201772,"4065 CARMEL BROOKS WAY","SAN DIEGO","CA",92130,32.941879439,-117.227871255,272,"4065 CARMEL BROOKS WAY, SAN DIEGO, CA, 92130","Match","Exact","4065 CARMEL BROOKS WAY, SAN DIEGO, CA, 92130",195384231,"R"
201773,"4065 CODY ST","WHEAT RIDGE","CO",80033,39.771665403,-105.091960576,273,"4065 CODY ST, WHEAT RIDGE, CO, 80033","Match","Exact","4065 CODY ST, WHEAT RIDGE, CO, 80033",177289498,"L"
201774,"4065 COUNTY CIRCLE DR STE 205","RIVERSIDE","CA",92503,33.917356897,-117.460321626,274,"4065 COUNTY CIRCLE DR STE 205, RIVERSIDE, CA, 92503","Match","Exact","4065 COUNTY CIRCLE DR, RIVERSIDE, CA, 92503",636473880,"R"
201775,"4065 COUNTY CIRCLE DRIVE","RIVERSIDE","CA",92503,33.917356897,-117.460321626,275,"4065 COUNTY CIRCLE DRIVE, RIVERSIDE, CA, 92503","Match","Exact","4065 COUNTY CIRCLE DR, RIVERSIDE, CA, 92503",636473880,"R"
201776,"4065 CROYDON DR NW","CANTON","OH",44718,40.836598558,-81.4166434109999,276,"4065 CROYDON DR NW, CANTON, OH, 44718","Match","Exact","4065 CROYDON DR NW, CANTON, OH, 44718",64728973,"R"
201777,"4065 HIGHWAY 69 S","MOUNT VERNON","IN",47620,37.9115674940001,-87.945060452,277,"4065 HIGHWAY 69 S, MOUNT VERNON, IN, 47620","Match","Non_Exact","4065 OLD HWY 69 S, MOUNT VERNON, IN, 47620",39745537,"R"
201778,"4065 LB MCLEOD RD","ORLANDO","FL",32811,28.508759716,-81.4274243039999,278,"4065 LB MCLEOD RD, ORLANDO, FL, 32811","Match","Non_Exact","4065 L B MCLEOD RD, ORLANDO, FL, 32811",94274495,"R"
201779,"4065 MAY APPLE COURT","DECATUR","GA",30034,33.693346353,-84.222763952,279,"4065 MAY APPLE COURT, DECATUR, GA, 30034","Match","Exact","4065 MAY APPLE CT, DECATUR, GA, 30034",23371463,"R"
201780,"4065 NORRIS RD","PACE","GA",32571,NA,NA,280,"4065 NORRIS RD, PACE, GA, 32571","No_Match",NA,NA,NA,NA
201781,"4065 NORRIS ROAD","PACE","FL",32571,30.6148186180001,-87.154489043,281,"4065 NORRIS ROAD, PACE, FL, 32571","Match","Exact","4065 NORRIS RD, PACE, FL, 32571",74567538,"L"
201782,"4065 PREMIER DR","HIGH POINT","NC",27265,36.039203775,-79.959965681,282,"4065 PREMIER DR, HIGH POINT, NC, 27265","Match","Exact","4065 PREMIER DR, HIGH POINT, NC, 27265",131087300,"R"
201783,"4065 S VIRGINIA ST STE 101","RENO","NV",89502,39.486213654,-119.793647713,283,"4065 S VIRGINIA ST STE 101, RENO, NV, 89502","Match","Non_Exact","4065 SOUTH VIRGINIA ST, RENO, NV, 89502",647890260,"R"
201784,"4065 SW 40TH AVENUE","PEMBROKE PARK","FL",33023,25.9738363390001,-80.182773197,284,"4065 SW 40TH AVENUE, PEMBROKE PARK, FL, 33023","Match","Exact","4065 SW 40TH AVE, PEMBROKE PARK, FL, 33023",608974925,"L"
201785,"4065 SW PENDANT DR","LEES SUMMIT","MO",64082,38.844475394,-94.388075365,285,"4065 SW PENDANT DR, LEES SUMMIT, MO, 64082","Match","Exact","4065 SW PENDANT DR, LEES SUMMIT, MO, 64082",91478796,"L"
201786,"4065 W ARDSLEY LANE","BLOOMINGTON","IN",47404,39.216698256,-86.585898301,286,"4065 W ARDSLEY LANE, BLOOMINGTON, IN, 47404","Match","Exact","4065 W ARDSLEY LN, BLOOMINGTON, IN, 47404",606907951,"L"
201787,"4065 W FAIRMOUNT AVE","PHOENIX","AZ",85019,33.4935848590001,-112.146937892,287,"4065 W FAIRMOUNT AVE, PHOENIX, AZ, 85019","Match","Exact","4065 W FAIRMOUNT AVE, PHOENIX, AZ, 85019",128199108,"L"
201788,"40652","HOUSTON","TX",77240,NA,NA,288,"40652, HOUSTON, TX, 77240","No_Match",NA,NA,NA,NA
201789,"40656 AETNA SPRINGS RD","INDIO","CA",92203,33.7526464690001,-116.209046779,289,"40656 AETNA SPRINGS RD, INDIO, CA, 92203","Match","Non_Exact","40656 AETNA SPRINGS ST, INDIO, CA, 92203",608977232,"R"
201790,"4066 ALBATROSS ST 7","SAN DIEGO","CA",92103,32.751156528,-117.166158154,290,"4066 ALBATROSS ST 7, SAN DIEGO, CA, 92103","Match","Exact","4066 ALBATROSS ST, SAN DIEGO, CA, 92103",195342445,"L"
201791,"4066 ATTALA ROAD 1110","KOSCIUSKO","MS",39090,32.9639139000001,-89.5020249739999,291,"4066 ATTALA ROAD 1110, KOSCIUSKO, MS, 39090","Match","Exact","4066 ATTALA RD 1110, KOSCIUSKO, MS, 39090",649295143,"R"
201792,"4066 BENITEAU","DETROIT","MI",48214,42.3804539980001,-82.980952024,292,"4066 BENITEAU, DETROIT, MI, 48214","Match","Non_Exact","4066 BENITEAU ST, DETROIT, MI, 48214",95484817,"R"
201793,"4066 GLENCOE STREET","CHATTANOOGA","TN",37406,35.080854345,-85.224243304,293,"4066 GLENCOE STREET, CHATTANOOGA, TN, 37406","Match","Exact","4066 GLENCOE ST, CHATTANOOGA, TN, 37406",59310126,"R"
201794,"4066 MARISA COURT","MELBOURNE","FL",32904,NA,NA,294,"4066 MARISA COURT, MELBOURNE, FL, 32904","No_Match",NA,NA,NA,NA
201795,"4066 WHISTLER DRIVE","DOUGLASVILLE","GA",30135,33.6976524080001,-84.65388071,295,"4066 WHISTLER DRIVE, DOUGLASVILLE, GA, 30135","Match","Exact","4066 WHISTLER DR, DOUGLASVILLE, GA, 30135",629793652,"L"
201796,"40667 SYMPHONY PARK LANE","MURRIETA","CA",92562,33.568442906,-117.199112415,296,"40667 SYMPHONY PARK LANE, MURRIETA, CA, 92562","Match","Exact","40667 SYMPHONY PARK LN, MURRIETA, CA, 92562",194845109,"R"
201797,"4067  HARDWICK  ST   SUITE 485","LAKEWOOD","CA",90712,33.850484253,-118.145561978,297,"4067  HARDWICK  ST   SUITE 485, LAKEWOOD, CA, 90712","Match","Exact","4067 HARDWICK ST, LAKEWOOD, CA, 90712",142775385,"L"
201798,"4067 44TH STREET UNIT 6","SAN DIEGO","CA",92105,32.7507828770001,-117.099796044,298,"4067 44TH STREET UNIT 6, SAN DIEGO, CA, 92105","Match","Exact","4067 44TH ST, SAN DIEGO, CA, 92105",195347052,"R"
201799,"4067 BEULAH ROAD","NATHALIE","VA",24577,36.8606606810001,-79.083994602,299,"4067 BEULAH ROAD, NATHALIE, VA, 24577","Match","Exact","4067 BEULAH RD, NATHALIE, VA, 24577",90337447,"L"
201800,"4067 ENTERPRISE WAY","SIERRA VISTA","AZ",85635,31.566082583,-110.255818493,300,"4067 ENTERPRISE WAY, SIERRA VISTA, AZ, 85635","Match","Exact","4067 ENTERPRISE WAY, SIERRA VISTA, AZ, 85635",120987966,"R"
201801,"4067 HARDWICK ST 123","LAKEWOOD","CA",90712,33.850484253,-118.145561978,301,"4067 HARDWICK ST 123, LAKEWOOD, CA, 90712","Match","Exact","4067 HARDWICK ST, LAKEWOOD, CA, 90712",142775385,"L"
201802,"4067 HARDWICK ST BOX 191","LAKEWOOD","CA",90712,33.850484253,-118.145561978,302,"4067 HARDWICK ST BOX 191, LAKEWOOD, CA, 90712","Match","Exact","4067 HARDWICK ST, LAKEWOOD, CA, 90712",142775385,"L"
